Marital_status,Course,Nacionality,Admission_grade,Gender,Age_at_enrollment,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Status
Single,Animation and Multimedia Design,Portuguese,127.3,Male,20,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Dropout
Single,Tourism,Portuguese,142.5,Male,19,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,Graduate
Single,Communication Design,Portuguese,124.8,Male,19,0,6,0,0,0.0,0,0,6,0,0,0.0,0,Dropout
Single,Journalism and Communication,Portuguese,119.6,Female,20,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,Graduate
Married,Social Service (evening attendance),Portuguese,141.5,Female,45,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,Graduate
Married,Management (evening attendance),Portuguese,114.8,Male,50,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,Graduate
Single,Nursing,Portuguese,128.4,Female,18,0,7,9,7,13.3,0,0,8,8,8,14.345,0,Graduate
Single,Tourism,Portuguese,113.1,Male,22,0,5,5,0,0.0,0,0,5,5,0,0.0,0,Dropout
Single,Social Service,Romanian,129.3,Female,21,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,Graduate
Single,Social Service,Portuguese,123.0,Female,18,0,6,9,5,11.4,0,0,6,14,2,13.5,0,Dropout
Single,Advertising and Marketing Management,Portuguese,130.6,Female,18,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,Graduate
Single,Nursing,Portuguese,119.3,Female,18,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,Graduate
Single,Basic Education,Portuguese,130.2,Female,19,0,6,6,0,0.0,0,0,6,0,0,0.0,0,Dropout
Single,Tourism,Portuguese,111.8,Female,21,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,Graduate
Single,Veterinary Nursing,Portuguese,137.1,Female,18,0,5,7,4,13.25,0,0,5,5,5,12.0,0,Graduate
Single,Journalism and Communication,Portuguese,120.7,Female,20,0,6,6,5,13.2,0,0,6,7,0,0.0,0,Dropout
Single,Social Service,Portuguese,137.4,Female,18,0,6,10,1,12.0,0,0,6,14,2,11.0,0,Enrolled
Single,Nursing,Portuguese,127.3,Female,18,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,Graduate
Single,Equinculture,Portuguese,136.3,Female,20,0,5,8,4,12.5,1,0,5,8,4,12.25,2,Graduate
Single,Basic Education,Portuguese,124.6,Female,18,0,7,7,6,11.666666666666666,0,0,7,8,6,13.5,0,Enrolled
Single,Animation and Multimedia Design,Portuguese,120.3,Female,21,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduate
Single,Oral Hygiene,Portuguese,121.8,Female,20,0,7,14,7,11.4375,0,0,8,9,8,11.425,0,Enrolled
Single,Nursing,Portuguese,125.5,Female,18,0,8,12,7,12.857142857142858,0,0,8,12,7,12.857142857142858,0,Graduate
Single,Advertising and Marketing Management,Portuguese,114.9,Female,19,0,6,8,6,13.375,0,0,6,7,6,12.285714285714286,0,Graduate
Single,Nursing,Portuguese,123.9,Female,19,0,7,8,6,13.296666666666669,0,0,8,9,7,14.114285714285714,0,Graduate
Single,Social Service,Portuguese,157.0,Female,18,0,6,8,5,11.6,0,0,6,12,4,11.0,0,Enrolled
Single,Social Service,Portuguese,116.4,Female,21,0,6,9,6,11.375,0,0,6,9,6,13.285714285714286,0,Graduate
Single,Veterinary Nursing,Portuguese,131.0,Female,18,0,5,9,5,12.666666666666666,2,0,5,7,4,13.0,0,Enrolled
Single,Management,Portuguese,122.1,Female,20,0,5,6,5,12.0,0,0,5,6,5,12.333333333333334,0,Graduate
Single,Nursing,Portuguese,118.8,Male,19,0,7,9,6,12.933333333333332,0,0,7,7,6,13.716666666666669,0,Enrolled
Single,Agronomy,Portuguese,150.0,Male,21,0,6,15,5,11.857142857142858,0,0,6,17,5,10.571428571428571,0,Enrolled
Single,Communication Design,Portuguese,130.0,Male,20,2,6,7,6,12.833333333333334,0,0,6,9,4,13.4,0,Graduate
Single,Management,Portuguese,138.8,Male,18,0,5,9,3,11.333333333333334,0,0,5,8,2,13.5,0,Enrolled
Single,Social Service (evening attendance),Portuguese,134.5,Female,19,0,6,6,6,12.666666666666666,0,0,6,8,6,14.375,0,Graduate
Single,Management (evening attendance),Portuguese,131.4,Male,34,0,5,6,5,12.4,0,0,5,9,5,13.428571428571429,0,Graduate
Single,Biofuel Production Technologies,Portuguese,102.5,Male,37,0,7,7,0,0.0,0,0,7,7,1,10.0,0,Dropout
Single,Informatics Engineering,Portuguese,128.8,Male,43,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Dropout
Single,Management,Portuguese,122.9,Female,55,0,5,10,1,10.0,0,0,5,8,2,12.0,2,Dropout
Divorced,Management (evening attendance),Portuguese,113.9,Female,39,0,5,8,5,11.0,0,0,5,5,5,11.6,0,Graduate
Single,Equinculture,Spanish,120.0,Female,20,2,6,13,3,11.666666666666666,0,1,6,11,3,12.0,0,Dropout
Single,Journalism and Communication,Portuguese,121.1,Female,18,0,6,6,4,12.75,0,0,5,5,0,0.0,0,Dropout
Single,Management,Portuguese,120.4,Female,22,0,5,5,5,14.8,0,0,5,5,5,15.8,0,Graduate
Single,Nursing,Portuguese,100.6,Female,22,0,7,9,5,13.928,0,0,8,9,7,14.342857142857142,0,Graduate
Single,Journalism and Communication,Portuguese,121.4,Female,20,0,6,7,4,13.0,0,0,6,7,5,13.8,0,Dropout
Single,Management (evening attendance),Portuguese,109.7,Female,29,0,5,0,0,0.0,0,0,5,0,0,0.0,0,Dropout
Single,Management (evening attendance),Portuguese,134.1,Female,24,0,5,9,2,11.5,0,0,5,11,3,14.333333333333334,1,Enrolled
Single,Social Service,Portuguese,127.6,Female,18,0,6,6,6,11.666666666666666,0,0,6,8,5,13.2,0,Graduate
Single,Nursing,Portuguese,132.4,Female,22,0,7,8,6,13.516666666666666,0,0,8,9,7,13.771428571428572,0,Graduate
Single,Social Service (evening attendance),Portuguese,133.4,Female,21,3,6,6,6,11.5,0,2,6,7,6,13.285714285714286,0,Graduate
Single,Social Service,Portuguese,126.1,Female,19,0,6,7,5,12.333333333333334,0,0,6,7,6,12.833333333333334,0,Graduate
Single,Tourism,Portuguese,113.5,Female,24,0,6,6,6,13.666666666666666,0,0,6,6,6,14.166666666666666,0,Graduate
Single,Nursing,Portuguese,121.3,Female,19,0,8,10,6,11.833333333333334,0,0,8,10,6,11.833333333333334,0,Enrolled
Single,Journalism and Communication,Portuguese,121.8,Female,20,0,6,11,4,14.0,0,0,6,12,3,11.0,0,Enrolled
Single,Equinculture,Portuguese,159.3,Female,19,0,5,7,5,14.714285714285714,0,0,5,5,5,15.8,0,Graduate
Single,Management (evening attendance),Portuguese,120.0,Female,27,0,5,12,5,10.6,0,0,5,10,5,11.0,0,Dropout
Single,Nursing,Portuguese,129.1,Female,18,0,7,9,7,13.044444444444444,0,0,8,10,8,13.595,0,Graduate
Married,Tourism,Portuguese,130.0,Female,39,0,6,10,0,0.0,0,0,6,6,0,0.0,0,Dropout
Single,Equinculture,Portuguese,155.3,Female,27,0,6,9,5,13.0,0,5,11,13,10,12.9,0,Dropout
Single,Nursing,Portuguese,139.8,Female,18,0,8,8,8,14.935,0,0,8,8,8,14.935,0,Graduate
Single,Animation and Multimedia Design,Portuguese,115.2,Female,18,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Enrolled
Single,Nursing,Portuguese,114.9,Female,18,0,7,8,6,13.133333333333333,0,0,8,12,7,12.221428571428572,0,Graduate
Single,Social Service,Portuguese,131.9,Female,21,3,6,7,6,12.0,0,2,6,7,6,12.0,0,Graduate
Single,Animation and Multimedia Design,Portuguese,126.0,Male,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Enrolled
Single,Communication Design,Portuguese,130.2,Male,19,0,6,6,5,11.4,0,0,6,8,1,10.0,0,Enrolled
Single,Communication Design,Portuguese,120.9,Male,24,0,6,6,0,0.0,0,0,6,6,0,0.0,0,Enrolled
Divorced,Nursing,Portuguese,126.0,Male,29,2,7,10,5,11.9,0,1,8,10,5,11.0,0,Dropout
Single,Animation and Multimedia Design,Portuguese,128.2,Male,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Graduate
Single,Agronomy,Portuguese,130.0,Male,23,0,6,8,6,12.571428571428571,0,0,6,7,6,12.428571428571429,0,Graduate
Single,Management,Portuguese,120.1,Male,19,0,5,8,5,11.2,0,0,5,10,4,10.75,3,Dropout
Single,Tourism,Portuguese,100.0,Male,26,0,6,7,6,12.0,0,0,6,8,5,10.8,0,Enrolled
Single,Management,Portuguese,134.0,Male,18,0,5,9,0,0.0,0,0,5,5,0,0.0,0,Enrolled
Single,Nursing,Portuguese,130.8,Male,24,0,7,8,7,11.975,0,0,8,8,8,13.75,0,Graduate
Single,Animation and Multimedia Design,Portuguese,135.8,Male,19,0,0,0,0,0.0,0,0,0,0,0,0.0,0,Dropout
Single,Tourism,Portuguese,111.7,Male,18,0,6,12,3,11.666666666666666,0,0,6,12,1,12.0,0,Dropout
Single,Journalism and Communication,Portuguese,132.9,Male,18,0,6,8,6,12.333333333333334,0,0,6,11,3,12.333333333333334,0,Graduate
Single,Management,Portuguese,115.5,Male,18,0,5,8,3,10.333333333333334,0,0,5,11,3,10.857142857142858,0,Dropout
Single,Tourism,Portuguese,106.0,Male,21,0,6,8,4,10.5,0,0,6,11,1,11.0,0,Dropout
