Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status
Single,2nd phase - general contingent,5,Animation and Multimedia Design,Daytime,Secondary Edu,122.0,Portuguese,Basic Ed. 3rd Cycle,Other - 11th Year,5,9,127.3,Yes,No,No,Yes,Male,No,20,No,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,International student (bachelor),1,Tourism,Daytime,Secondary Edu,160.0,Portuguese,12th Year of Schooling,Degree,3,3,142.5,Yes,No,No,No,Male,No,19,No,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate
Single,1st phase - general contingent,5,Communication Design,Daytime,Secondary Edu,122.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,9,124.8,Yes,No,No,No,Male,No,19,No,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
Single,2nd phase - general contingent,2,Journalism and Communication,Daytime,Secondary Edu,122.0,Portuguese,Basic Ed. 2nd Cycle,Basic Ed. 1st Cycle,5,3,119.6,Yes,No,No,Yes,Female,No,20,No,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate
Married,Over 23 years old,1,Social Service (evening attendance),Evening,Secondary Edu,100.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 2nd Cycle,9,9,141.5,No,No,No,Yes,Female,No,45,No,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate
Married,Over 23 years old,1,Management (evening attendance),Evening,Basic Edu 3rd,133.1,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,7,114.8,No,No,Yes,Yes,Male,No,50,No,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate
Single,1st phase - general contingent,1,Nursing,Daytime,Secondary Edu,142.0,Portuguese,Basic Ed. 3rd Cycle,Basic Ed. 2nd Cycle,7,10,128.4,Yes,No,No,Yes,Female,Yes,18,No,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate
Single,3rd phase - general contingent,4,Tourism,Daytime,Secondary Edu,119.0,Portuguese,Basic Ed. 1st Cycle,Basic Ed. 1st Cycle,9,9,113.1,Yes,No,No,No,Male,No,22,No,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout
Single,1st phase - general contingent,3,Social Service,Daytime,Secondary Edu,137.0,Romanian,12th Year of Schooling,12th Year of Schooling,9,9,129.3,No,No,No,Yes,Female,Yes,21,Yes,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate
Single,1st phase - general contingent,1,Social Service,Daytime,Secondary Edu,138.0,Portuguese,12th Year of Schooling,Basic Ed. 3rd Cycle,4,7,123.0,Yes,No,Yes,No,Female,No,18,No,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout
